finished,age,gender,educ,employment,income,ideology_left,attention_check,democ1_squabble_pre,democ2_econ_bad_pre,democ3_no_order_pre,democ4_military_pre,democ5_better_pre,dem_estimate_pre,treat_share_high,dem_estimate_post,treat_turnout_high,democ1_squabble_post,democ2_econ_bad_post,democ3_no_order_post,democ4_military_post,democ5_better_post,behavioral,part_time_employ,full_time_employ,democ_post_all_missing,pre_democ_index,post_democ_index,male,zip_first_digit,non_white_share
1,63,Female,5,Retired,59000,4,4,2,NA,2,NA,NA,85,0,81,0,NA,3,NA,3,2,0,0,0,0,4,8,0,7,0.36944013236784135
1,84,Female,6,Retired,0,1,8,NA,3,NA,NA,5,30,1,44,0,1,NA,2,5,NA,0,0,0,0,8,8,0,2,0.21786280004873892
1,53,Female,2,Homemaker,39000,5,6,5,NA,NA,3,NA,57,0,40,0,NA,2,3,NA,5,0,0,0,0,8,10,0,1,0.04072343993292615
1,62,Female,3,Unemployed,25000,4,8,NA,5,3,NA,NA,100,1,100,0,5,NA,NA,5,1,1,0,0,0,8,11,0,7,0.1603703703703704
1,72,Female,5,Retired,60000,2,6,NA,NA,NA,1,5,80,1,26,1,2,2,4,NA,NA,0,0,0,0,6,8,0,0,0.06947656085768339
1,26,Female,6,Full-time employed,75000,4,8,NA,2,4,NA,NA,68,0,58,0,1,NA,NA,1,4,0,0,1,0,6,6,0,7,0.2365175615900635
1,68,Female,4,Retired,36500,1,8,3,NA,NA,NA,3,80,1,50,1,NA,3,2,3,NA,0,0,0,0,6,8,0,5,0.28785848298043415
1,45,Female,2,Retired,22000,3,8,2,NA,NA,2,NA,69,1,50,1,NA,4,4,NA,4,0,0,0,0,4,12,0,4,0.2061298076923077
1,59,Female,3,Retired,40000,2,8,NA,NA,NA,4,3,80,0,41,1,2,2,3,NA,NA,0,0,0,0,7,7,0,1,0.05925272610647847
1,68,Male,2,Retired,11500,4,8,4,NA,2,NA,NA,80,0,60,1,NA,2,NA,5,5,0,0,0,0,6,12,1,6,0.2271561013991995
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA
0,74,Female,3,Part-time employed,99000,4,8,NA,NA,2,3,NA,47,1,50,1,3,3,NA,NA,4,0,1,0,0,5,10,0,3,0.24465585865449957
0,62,Male,2,Retired,25000,2,6,NA,NA,NA,3,3,42,0,61,0,2,3,3,NA,NA,0,0,0,0,6,8,1,3,0.15582490408092087
0,63,Female,5,Full-time employed,150000,3,8,NA,5,1,NA,NA,90,1,57,0,5,NA,NA,1,5,0,0,1,0,6,11,0,1,0.37204429811433704
1,35,Male,6,Full-time employed,70000,7,6,NA,1,NA,4,NA,20,1,50,1,3,NA,1,NA,3,1,0,1,0,5,7,1,1,0.3709486019431877
1,18,Male,6,Full-time employed,230000,4,8,NA,NA,NA,4,5,39,0,32,0,3,4,4,NA,NA,1,0,1,0,9,11,1,1,0.7249455968890435
1,73,Female,5,Retired,60000,1,8,2,NA,2,NA,NA,67,0,42,0,NA,2,NA,4,4,1,0,0,0,4,10,0,3,0.23321106733686547
1,58,Male,4,Part-time employed,45000,2,8,NA,NA,1,5,NA,46,1,50,1,5,5,NA,NA,5,0,1,0,0,6,15,1,2,0.6092274615764548
1,53,Female,1,Full-time employed,20000,2,8,1,5,NA,NA,NA,8,0,7,1,NA,NA,5,5,5,NA,0,1,0,6,15,0,1,0.10682301915585724
1,30,Male,4,Unemployed,11500,3,8,NA,NA,5,4,NA,33,0,55,1,4,5,NA,NA,5,0,0,0,0,9,14,1,7,0.27518047438982474
